,subject,EDA_Peak_Amplitude,EDA_SCR,SCR_Peak_Amplitude,SCR_Peak_Amplitude_Time,SCR_RiseTime,SCR_RecoveryTime,total_duration,EDA_Phasic_Mean,EDA_Tonic_Max,event_name,design
fair/cookies,1,-0.317764296750743,0,,,,,6.8875,-3.2830471394490064,180.2376915142042,cookies,fair
fair/geolocation,1,7.32421660531233,0,,,,,369.744,5.551846292608412,186.96104383004376,geolocation,fair
fair/notification,1,6.909763008553915,1,3.669691174508189,3.6128844070339197,0.8615,0.329,6.378,-0.0780304167764601,193.94542124384384,notification,fair
fair/travelProtection,1,7.925246696585637,0,,,,,6.6045,1.9663141867604919,259.06012781333663,travelProtection,fair
fair/newsletter,1,7.406403720336233,1,13.828176149195045,4.020918409867489,1.8945,,6.905,0.30547639069386545,264.0919571308109,newsletter,fair
dark/cookies,1,2.7084035885828985,0,,,,,8.271,-5.36087575551109,279.2732669960924,cookies,dark
dark/geolocation,1,14.933473635865226,0,,,,,3.4455,0.6681387111771728,296.8417152327867,geolocation,dark
dark/notification,1,3.33861622394154,1,4.558269201684978,3.256854737894825,1.2025,0.201,8.3745,-3.8970675634971426,311.56344015388083,notification,dark
dark/travelProtection,1,22.11483408370404,1,20.064332264986163,3.2828569047420624,2.616,1.6755,4.3,10.267179939802217,336.1850534209938,travelProtection,dark
dark/newsletter,1,3.9602112371389238,1,12.05392095870926,2.4932911075922997,1.709,3.251,19.0345,-2.562726789267085,329.67177337255083,newsletter,dark
